City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Lingao,CN,89.17,broken clouds,19.9103,109.6859,Lingao Ditai Inn
661,Kanniyakumari,IN,82.96,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
662,Mahe,IN,80.46,overcast clouds,11.7,75.5333,Mahi Midas Sea View Hotel
664,Kismayo,SO,75.67,scattered clouds,-0.3582,42.5454,Agan-Hotel
665,Madang,PG,83.79,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
669,Kamaishi,JP,75.87,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
672,Buraydah,SA,84.65,overcast clouds,26.326,43.975,Mövenpick Qassim
673,Sokoto,NG,75.87,overcast clouds,13.0609,5.239,Grand Ibro Hotel
674,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
682,Hovd,MN,75.29,clear sky,48.0056,91.6419,Hotel Khovd
683,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
688,Jaque,PA,78.85,light rain,7.5175,-78.1703,Aventuras Jaque S.A
689,Morehead,US,80.78,clear sky,37.2711,-87.1764,CCI Express Inn
690,Magdagachi,RU,82.81,light rain,53.45,125.8,Motopolyana Magdagachi
698,Sevierville,US,79.14,clear sky,35.8681,-83.5618,The Lodge at Five Oaks
704,Qena,EG,79.88,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
706,Gigmoto,PH,85.71,overcast clouds,13.7796,124.39,Cj's Travellers Inn
707,Qianan,CN,76.8,scattered clouds,44.9932,124.0581,Qian'an Hotel
708,Acarau,BR,78.75,clear sky,-2.8856,-40.12,castelo pizzaria
