City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Asosa,ET,2022-07-15 11:09:30,10.0667,34.5333,64.38,90,99,1.36
68,Lebanon,US,2022-07-15 11:09:30,36.2081,-86.2911,72.97,89,0,0.0
69,Piacabucu,BR,2022-07-15 11:09:31,-10.4056,-36.4344,74.97,83,42,10.09
70,Provideniya,RU,2022-07-15 11:09:31,64.3833,-173.3,49.01,77,94,2.26
71,Port Elizabeth,ZA,2022-07-15 11:06:33,-33.918,25.5701,67.32,55,3,7.0
72,Avera,US,2022-07-15 11:09:32,33.194,-82.5271,71.38,93,100,1.5
73,Manokwari,ID,2022-07-15 11:09:32,-0.8667,134.0833,80.71,75,24,2.33
74,Onega,RU,2022-07-15 11:09:33,63.9061,38.1404,73.65,48,100,5.37
75,Saint George,US,2022-07-15 11:09:33,37.1041,-113.5841,81.63,53,40,9.22
76,Riyadh,SA,2022-07-15 11:07:24,24.6877,46.7219,109.54,7,87,21.43
77,Yellowknife,CA,2022-07-15 11:09:34,62.456,-114.3525,49.75,79,44,9.71
78,Rikitea,PF,2022-07-15 11:09:34,-23.1203,-134.9692,67.66,77,100,9.31
79,Cape Town,ZA,2022-07-15 11:07:04,-33.9258,18.4232,66.11,65,80,4.0
80,Igarka,RU,2022-07-15 11:09:35,67.4667,86.5833,64.65,42,81,7.29
81,Myanaung,MM,2022-07-15 11:09:35,18.2833,95.3167,82.09,79,88,8.81
82,Qaanaaq,GL,2022-07-15 11:09:35,77.484,-69.3632,48.96,65,100,9.19
83,Belomorsk,RU,2022-07-15 11:09:36,64.5232,34.7668,65.97,61,99,7.29
84,Geraldton,AU,2022-07-15 11:09:36,-28.7667,114.6,59.41,88,70,6.91
85,Lebu,CL,2022-07-15 11:09:37,-37.6167,-73.65,40.23,90,69,8.39
86,Goderich,CA,2022-07-15 11:09:37,43.7501,-81.7165,53.91,69,1,4.88
87,Thompson,CA,2022-07-15 11:09:38,55.7435,-97.8558,58.64,59,35,5.77
88,Mount Isa,AU,2022-07-15 11:09:38,-20.7333,139.5,46.17,46,0,0.0
89,Cap-Aux-Meules,CA,2022-07-15 11:09:38,47.3821,-61.8597,57.25,88,75,6.91
90,Butaritari,KI,2022-07-15 11:09:39,3.0707,172.7902,82.18,80,45,16.02
91,Hami,CN,2022-07-15 11:09:39,42.8,93.45,94.15,5,97,14.81
92,Novyy Urengoy,RU,2022-07-15 11:10:40,66.0833,76.6333,70.12,33,57,7.29
93,Bredasdorp,ZA,2022-07-15 11:10:40,-34.5322,20.0403,61.72,62,82,8.41
94,Tiksi,RU,2022-07-15 11:10:41,71.6872,128.8694,41.59,84,91,12.57
95,Karratha,AU,2022-07-15 11:10:41,-20.7377,116.8463,69.39,43,22,7.65
96,Fortuna,US,2022-07-15 11:10:41,40.5982,-124.1573,54.66,91,100,3.56
97,Kondinskoye,RU,2022-07-15 11:10:42,59.6481,67.41,84.78,42,55,5.12
98,Mayo,US,2022-07-15 11:10:42,38.8876,-76.5119,73.98,90,20,1.01
99,Antri,IN,2022-07-15 11:10:43,26.0567,78.2144,100.09,33,86,11.05
100,Bulgan,MN,2022-07-15 11:10:43,48.8125,103.5347,57.51,92,100,6.38
101,Dicabisagan,PH,2022-07-15 11:10:43,17.0818,122.4157,82.8,86,99,6.46
102,Atherton,GB,2022-07-15 11:10:44,53.5237,-2.4935,68.76,72,100,7.0
103,Mar Del Plata,AR,2022-07-15 11:10:44,-38.0023,-57.5575,52.09,98,100,9.22
104,Ponta Do Sol,PT,2022-07-15 11:10:45,32.6667,-17.1,80.01,73,3,4.03
